"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1101","Text Area is displayed","tests","Sun Jun 29 14:35:49 MSK 2025","passed","Sun Jun 29 14:35:50 MSK 2025","","text_area_test","",""
"","1627","Text Input error","tests","Sun Jun 29 14:36:35 MSK 2025","passed","Sun Jun 29 14:36:37 MSK 2025","","text_input_test","",""
"","1301","Select input name","tests","Sun Jun 29 14:35:26 MSK 2025","failed","Sun Jun 29 14:35:27 MSK 2025","","select_inputs_test","",""
"","1527","Text Area name","tests","Sun Jun 29 14:35:53 MSK 2025","failed","Sun Jun 29 14:35:54 MSK 2025","","text_area_test","",""
"","1737","Text Area is sent text","tests","Sun Jun 29 14:35:56 MSK 2025","passed","Sun Jun 29 14:35:58 MSK 2025","","text_area_test","",""
"","1128","Select input is displayed","tests","Sun Jun 29 14:35:22 MSK 2025","passed","Sun Jun 29 14:35:23 MSK 2025","","select_inputs_test","",""
"","1730","Text Input error","tests","Sun Jun 29 14:36:08 MSK 2025","passed","Sun Jun 29 14:36:09 MSK 2025","","text_input_test","",""
"","21895","Text Input error","tests","Sun Jun 29 14:36:11 MSK 2025","passed","Sun Jun 29 14:36:33 MSK 2025","","text_input_test","",""
"","1692","Single Checkbox is not clicked","tests","Sun Jun 29 14:35:45 MSK 2025","passed","Sun Jun 29 14:35:47 MSK 2025","","single_checkbox_test","",""
"","1201","Text Input is displayed","tests","Sun Jun 29 14:36:00 MSK 2025","passed","Sun Jun 29 14:36:01 MSK 2025","","text_input_test","",""
"","1854","Select input choose Ruby","tests","Sun Jun 29 14:35:34 MSK 2025","passed","Sun Jun 29 14:35:36 MSK 2025","","select_inputs_test","",""
"","1190","Single Checkbox is displayed","tests","Sun Jun 29 14:35:38 MSK 2025","passed","Sun Jun 29 14:35:39 MSK 2025","","single_checkbox_test","",""
"","1754","Text Input is sent correct text","tests","Sun Jun 29 14:36:04 MSK 2025","passed","Sun Jun 29 14:36:05 MSK 2025","","text_input_test","",""
"","1750","Check alert text","tests","Sun Jun 29 14:35:18 MSK 2025","passed","Sun Jun 29 14:35:20 MSK 2025","","alert_test","",""
"","1850","Single Checkbox is clicked","tests","Sun Jun 29 14:35:41 MSK 2025","passed","Sun Jun 29 14:35:43 MSK 2025","","single_checkbox_test","",""
